项目ID,请求专业类型,学校,学院,项目名称,标准项目名称,方向,项目类型,年份,录取分析标题,总成绩计算方式,分数段,拟录人数,进入复试人数,分段录取率,来源网站,更新时间
89,MBA,南京林业大学,经济管理学院,MBA,MBA,nan,非全日制,2025,MBA(非全),录取成绩＝初试总成绩（折合百分制）×70％＋复试总成绩（折合百分制）×30％,220-229,1,1,100.0,MBA大师,2025-06-23 09:57:44
116,MBA,江苏大学,管理学院,(01)中小企业经营管理,中小企业经营管理,nan,非全日制,2025,MBA(非全),总成绩=初试总分÷3×50%+复试总分×50%。,151-159,33,18,0.0,MBA大师,2026-03-08 11:23:33
116,MBA,江苏大学,管理学院,(01)中小企业经营管理,中小企业经营管理,nan,非全日制,2025,MBA(非全),总成绩=初试总分÷3×50%+复试总分×50%。,160-169,37,13,0.0,MBA大师,2026-03-08 11:23:33
116,MBA,江苏大学,管理学院,(01)中小企业经营管理,中小企业经营管理,nan,非全日制,2025,MBA(非全),总成绩=初试总分÷3×50%+复试总分×50%。,170-179,24,14,0.0,MBA大师,2026-03-08 11:23:33
116,MBA,江苏大学,管理学院,(01)中小企业经营管理,中小企业经营管理,nan,非全日制,2025,MBA(非全),总成绩=初试总分÷3×50%+复试总分×50%。,180-189,17,11,0.0,MBA大师,2026-03-08 11:23:33
116,MBA,江苏大学,管理学院,(01)中小企业经营管理,中小企业经营管理,nan,非全日制,2025,MBA(非全),总成绩=初试总分÷3×50%+复试总分×50%。,190-199,8,7,0.0,MBA大师,2026-03-08 11:23:33
116,MBA,江苏大学,管理学院,(01)中小企业经营管理,中小企业经营管理,nan,非全日制,2025,MBA(非全),总成绩=初试总分÷3×50%+复试总分×50%。,200-209,3,2,0.0,MBA大师,2026-03-08 11:23:33
65,MBA,南京信息工程大学,商学院,MBA,MBA,nan,全日制,2025,MBA(全),考生综合成绩=初试成绩÷3*0.6+复试成绩（换算为百分制）*0.4,151-159,3,3,0.0,MBA大师,2026-03-08 11:23:33
65,MBA,南京信息工程大学,商学院,MBA,MBA,nan,全日制,2025,MBA(全),考生综合成绩=初试成绩÷3*0.6+复试成绩（换算为百分制）*0.4,160-169,8,9,0.0,MBA大师,2026-03-08 11:23:33
65,MBA,南京信息工程大学,商学院,MBA,MBA,nan,全日制,2025,MBA(全),考生综合成绩=初试成绩÷3*0.6+复试成绩（换算为百分制）*0.4,170-179,2,2,0.0,MBA大师,2026-03-08 11:23:33
65,MBA,南京信息工程大学,商学院,MBA,MBA,nan,全日制,2025,MBA(全),考生综合成绩=初试成绩÷3*0.6+复试成绩（换算为百分制）*0.4,180-189,3,3,0.0,MBA大师,2026-03-08 11:23:33
65,MBA,南京信息工程大学,商学院,MBA,MBA,nan,全日制,2025,MBA(全),考生综合成绩=初试成绩÷3*0.6+复试成绩（换算为百分制）*0.4,190-199,2,2,0.0,MBA大师,2026-03-08 11:23:33
65,MBA,南京信息工程大学,商学院,MBA,MBA,nan,全日制,2025,MBA(全),考生综合成绩=初试成绩÷3*0.6+复试成绩（换算为百分制）*0.4,200-209,2,2,0.0,MBA大师,2026-03-08 11:23:33
65,MBA,南京信息工程大学,商学院,MBA,MBA,nan,全日制,2025,MBA(全),考生综合成绩=初试成绩÷3*0.6+复试成绩（换算为百分制）*0.4,230-239,1,1,0.0,MBA大师,2026-03-08 11:23:33
65,MBA,南京信息工程大学,商学院,MBA,MBA,nan,非全日制,2025,MBA(非全),考生综合成绩=初试成绩÷3*0.6+复试成绩（换算为百分制）*0.4,151-159,19,5,0.0,MBA大师,2026-03-08 11:23:33
65,MBA,南京信息工程大学,商学院,MBA,MBA,nan,非全日制,2025,MBA(非全),考生综合成绩=初试成绩÷3*0.6+复试成绩（换算为百分制）*0.4,160-169,23,3,0.0,MBA大师,2026-03-08 11:23:33
65,MBA,南京信息工程大学,商学院,MBA,MBA,nan,非全日制,2025,MBA(非全),考生综合成绩=初试成绩÷3*0.6+复试成绩（换算为百分制）*0.4,170-179,16,5,0.0,MBA大师,2026-03-08 11:23:33
65,MBA,南京信息工程大学,商学院,MBA,MBA,nan,非全日制,2025,MBA(非全),考生综合成绩=初试成绩÷3*0.6+复试成绩（换算为百分制）*0.4,180-189,4,5,0.0,MBA大师,2026-03-08 11:23:33
65,MBA,南京信息工程大学,商学院,MBA,MBA,nan,非全日制,2025,MBA(非全),考生综合成绩=初试成绩÷3*0.6+复试成绩（换算为百分制）*0.4,190-199,6,7,0.0,MBA大师,2026-03-08 11:23:33
