学校,学院,专业类型,招生人数,学费,城市,性质,项目ID,详情页,大学ID,大学名称,学院专业列表,学院招生年份
大连海事大学,公共管理与人文艺术学院,MPA,非全日制:150人,3.6万-12.2万,辽宁省大连市,"211,双一流",457,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=457,109,大连海事大学,MPA,2026
沈阳农业大学,土地与环境学院,MPA,"全日制:5人,非全日制:9人",2.4万-7.5万,辽宁省沈阳市,,157413,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=157413,110,沈阳农业大学,MPA,2026
东北财经大学,公共管理学院,MPA,非全日制:60人,3.0万-39.8万,辽宁省大连市,,459,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=459,111,东北财经大学,MPA,2026
辽宁师范大学,管理学院,MPA,非全日制:85人,1.6万-5.0万,辽宁省大连市,,1870,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=1870,119,辽宁师范大学,MLIS、MPA、MTA,2026
沈阳师范大学,管理学院,MPA,非全日制:38人,3.6万-4.5万,辽宁省沈阳市,,1942,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=1942,120,沈阳师范大学,MPA,2026
中国刑事警察学院,公安基础教研部,MPA,全日制:20人,4.5万,辽宁省沈阳市,,1943,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=1943,121,中国刑事警察学院,MPA,2026
中国辽宁省委党校,不区分院系所,MPA,非全日制:5人,5.5万,辽宁沈阳,,157414,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=157414,483,中国辽宁省委党校,MPA,2025
吉林大学,行政学院,MPA,非全日制:160人,4.0万-10.0万,吉林省长春市,"985,211,双一流",869,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=869,125,吉林大学,MPA,2026
吉林大学,吉林大学人民政协理论研究中心,MPA,非全日制:20人,4.0万-10.0万,吉林长春,"985,211,双一流",1941,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=1941,125,吉林大学,MPA,2025
延边大学,人文社会科学学院,MPA,全日制:44人,3.0万-10.0万,吉林省延吉市,"211,双一流",870,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=870,126,延边大学,MPA,2026
长春工业大学,公共管理学院,MPA,非全日制:63人,3.0万-4.0万,吉林省长春市,,872,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=872,129,长春工业大学,MPA,2026
东北师范大学,政法学院,MPA,非全日制:95人,3.0万-6.9万,吉林省长春市,"211,双一流",871,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=871,131,东北师范大学,MPA,2026
吉林财经大学,不区分院系所,MPA,非全日制:29人,2.4万-5.0万,吉林省长春市,,864,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=864,132,吉林财经大学,MBA、MPA、MAud、MLIS、MPAcc,2026
北华大学,经济管理学院,MPA,"全日制:4人,非全日制:17人",3.0万,吉林省吉林市,,875,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=875,134,北华大学,MPA,2026
长春师范大学,政法学院,MPA,非全日制:15人,2.0万-3.0万,吉林省长春市,,874,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=874,135,长春师范大学,MPA、MLIS,2026
中共吉林省委党校(吉林省行政学院),不区分院系所,MPA,非全日制:11人,3.0万,吉林长春,,876,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=876,136,中共吉林省委党校(吉林省行政学院),MPA,2025
黑龙江大学,政府管理学院,MPA,"全日制:30人,非全日制:45人",1.8万-5.7万,黑龙江省哈尔滨市,,897,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=897,139,黑龙江大学,MPA,2026
哈尔滨工业大学,经济与管理学院,MPA,非全日制:120人,8.0万-63.8万,"黑龙江省哈尔滨市,深圳,苏州","985,211,双一流",1940,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=1940,140,哈尔滨工业大学,MPA,2026
哈尔滨工程大学,经济管理学院,MPA,非全日制:170人,5.3万-7.2万,黑龙江省哈尔滨市,"211,双一流",890,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=890,142,哈尔滨工程大学,MEM、MPA、MBA,2026
东北农业大学,公共管理与法学院,MPA,非全日制:83人,2.7万-5.7万,黑龙江省哈尔滨市,"211,双一流",896,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=896,145,东北农业大学,MPA,2026
哈尔滨商业大学,MBA（MPA）中心,MPA,非全日制:53人,1.8万-4.2万,黑龙江省哈尔滨市,,895,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=895,147,哈尔滨商业大学,MBA、MPA,2026
哈尔滨师范大学,经济与管理学院,MPA,全日制:20人,1.8万-3.0万,黑龙江省哈尔滨市,,1872,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=1872,148,哈尔滨师范大学,MPAcc、MPA,2026
厦门大学,公共管理系,MPA,"全日制:20人,非全日制:230人",3.3万-42.0万,福建省厦门市,"985,211,双一流",22,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=22,243,厦门大学,MPA,2026
华侨大学,MPA教育中心,MPA,非全日制:82人,2.4万-10.5万,福建省泉州市,,24,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=24,244,华侨大学,MPA,2026
福州大学,经济与管理学院,MPA,非全日制:95人,2.4万-15.0万,福建省福州市,"211,双一流",17,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=17,245,福州大学,MBA、MEM、MPAcc、MPA,2026
福建农林大学,公共管理与法学院,MPA,非全日制:110人,2.4万-10.0万,福建省福州市,,23,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=23,246,福建农林大学,MPA,2026
